
========== REPORT ==========
[OK] Totals | Stores=32 | Categories=112 | Unique=23992 | New=0 | Restored=0 | Removed=2 | PriceChanges=0 | Runtime=  1284s

FAILED CATEGORIES (13)
  ✗ Gull Liquor | Whisky
  ✗ Elbow Liquor | Whisky
  ✗ Gull Liquor | Rum
  ✗ Elbow Liquor | Rum
  ✗ Gull Liquor | Gin
  ✗ Elbow Liquor | Gin
  ✗ Sherbrooke Liquor | Whisky
  ✗ Sherbrooke Liquor | Rum
  ✗ Color de Vino | Whisky/Whiskey
  ✗ Sherbrooke Liquor | Gin
  ✗ Color de Vino | Whisky SC SM
  ✗ Color de Vino | Rum
  ✗ Color de Vino | Gin

Per-category summary:
Store | Category                               Pages  Unique   New   Res   Rem   Upd      Sec
---------------------------------------------  -----  ------  ----  ----  ----  ----  -------
Sierra Springs | Scotch Whisky / Single Malt       4     287     0     0     0     0      14s
Co-op World of Whisky | Canadian Whisky            3      58     0     0     0     0      17s
Sierra Springs | Canadian Whiskey                  1      81     0     0     0     0     6.4s
Sierra Springs | Irish Whiskey                     1      33     0     0     0     0     6.3s
Co-op World of Whisky | Bourbon Whiskey            3      64     0     0     0     0      13s
Sierra Springs | American Whiskey                  2     167     0     0     0     0     9.9s
Sierra Springs | World Whisky                      1      49     0     0     0     0     6.3s
Sierra Springs | Spirits                           5     387     0     0     0     0      19s
Co-op World of Whisky | Scottish Single Malts     11     250     0     0     0     0      38s
Sierra Springs | Other                             1      10     0     0     0     0     7.2s
Sierra Springs | Gin                               1      51     0     0     0     0     6.7s
Co-op World of Whisky | American Whiskey           2      35     0     0     0     0     9.3s
Craft Cellars | Whisky                            27     896     0     0     0     0      83s
Craft Cellars | Rum                               27     110     0     0     0     0     0.2s
Craft Cellars | Gin                               27      93     0     0     0     0     0.2s
Co-op World of Whisky | Rum                        2      33     0     0     0     0     9.7s
Co-op World of Whisky | Gin                        1      15     0     0     0     0     6.3s
BCL | Whisky / Whiskey                            26     603     0     0     0     0      69s
Strath Liquor | Whisky                            13     414     0     0     0     0      72s
BSW | Scotch Whisky                               24    1163     0     0     1     0      60s
BCL | Rum                                          4      95     0     0     0     0      11s
BCL | Gin                                          4      77     0     0     0     0      11s
BSW | Rum                                         12     585     0     0     0     0      31s
Strath Liquor | Spirits - Rum                     11      39     0     0     0     0      39s
Strath Liquor | Spirits - Gin                      3      36     0     0     0     0      12s
Willow Park | Scotch                               7     259     0     0     0     0      31s
Willow Park | Rum                                  3      87     0     0     0     0      22s
Vessel Liquor | Whisky                             5     201     0     0     0     0      28s
Willow Park | Gin                                  3      86     0     0     0     0      22s
BSW | Whisky                                      24    1164     0     0     0     0      61s
Vessel Liquor | Rum / Cane Spirit                  2      62     0     0     0     0      21s
Malts & Grains | All Spirits                       4     576     0     0     0     0     9.8s
Malts & Grains | Gin                               4       0     0     0     0     0     0.0s
BSW | Gin                                          9     431     0     0     0     0      23s
Vessel Liquor | Gin                                2      77     0     0     0     0      22s
Vintage Spirits | Whisky & Whiskey                 1      14     0     0     0     0     0.2s
Vintage Spirits | Single Malt Whisky               2      25     0     0     0     0     5.2s
Vintage Spirits | Rum                              4      51     0     0     0     0      10s
Keg N Cork | Whisky                                7     623     0     0     0     0      37s
Vintage Spirits | Gin                              2      16     0     0     0     0     5.2s
Tudor House | Rum                                  2     151     0     0     0     0      28s
Keg N Cork | Rum                                   1      69     0     0     0     0     8.7s
Legacy Liquor | Whisky                             5     403     0     0     0     0      16s
Keg N Cork | Gin                                   1      77     0     0     0     0     8.8s
Legacy Liquor | Rum                                2     115     0     0     0     0     5.2s
Legacy Liquor | Gin                                1      91     0     0     0     0     2.6s
ARC Liquor | Spirits - Rum                         7     103     0     0     0     0      19s
Tudor House | Whiskey / Scotch                     3     257     0     0     0     0      33s
Tudor House | Scotch Selections                    4     369     0     0     0     0      36s
ARC Liquor | Spirits - Scotch                     16     229     0     0     0     0      44s
Everything Wine | Whisky                          23     533     0     0     0     0      65s
Tudor House | Gin                                  2     156     0     0     0     0      30s
Everything Wine | Rum                              5     108     0     0     0     0      19s
ARC Liquor | Spirits - Whiskey                    11     162     0     0     0     0      32s
ARC Liquor | Spirits - Gin                         6      84     0     0     0     0      18s
Everything Wine | Gin                              8     170     0     0     0     0      23s
Lime Liquor | Whiskey                             13    1340     0     0     0     0      36s
ZYN The Wine Market | Whisky                       5     865     0     0     1     0      14s
Canadian Liquor Store | Whisky                     4     623     0     0     0     0      14s
ZYN The Wine Market | Rum                          1     194     0     0     0     0     3.1s
Canadian Liquor Store | Rum                        1      73     0     0     0     0     3.2s
ZYN The Wine Market | Gin                          1     176     0     0     0     0     3.1s
Liquor Warehouse | Whiskey/Scotch                  1     183     0     0     0     0     0.7s
Lime Liquor | Rum                                  4     361     0     0     0     0      11s
Canadian Liquor Store | Gin                        1      92     0     0     0     0     3.1s
Liquor Warehouse | Rum                             1      61     0     0     0     0     2.9s
Liquor Warehouse | Gin                             1      41     0     0     0     0     2.7s
Lime Liquor | Gin                                  3     312     0     0     0     0     8.7s
Vine Arts | Whiskey                                1     121     0     0     0     0     1.1s
