
========== REPORT ==========
[OK] Totals | Stores=32 | Categories=112 | Unique=23846 | New=0 | Restored=5 | Removed=186 | PriceChanges=44 | Runtime=  2688s

FAILED CATEGORIES (13)
  ✗ Gull Liquor | Whisky
  ✗ Elbow Liquor | Whisky
  ✗ Gull Liquor | Rum
  ✗ Elbow Liquor | Rum
  ✗ Gull Liquor | Gin
  ✗ Elbow Liquor | Gin
  ✗ Sherbrooke Liquor | Whisky
  ✗ Sherbrooke Liquor | Rum
  ✗ Color de Vino | Whisky/Whiskey
  ✗ Sherbrooke Liquor | Gin
  ✗ Color de Vino | Whisky SC SM
  ✗ Color de Vino | Rum
  ✗ Color de Vino | Gin

Per-category summary:
Store | Category                               Pages  Unique   New   Res   Rem   Upd      Sec
---------------------------------------------  -----  ------  ----  ----  ----  ----  -------
Sierra Springs | Scotch Whisky / Single Malt       4     280     0     0     0     3      15s
Co-op World of Whisky | Canadian Whisky            3      58     0     0     0     2      18s
Sierra Springs | Canadian Whiskey                  1      77     0     0     0     1     7.2s
Sierra Springs | Irish Whiskey                     1      32     0     0     0     0     6.5s
Co-op World of Whisky | Bourbon Whiskey            3      64     0     0     0     1      13s
Sierra Springs | American Whiskey                  2     166     0     0     0     2      10s
Sierra Springs | World Whisky                      1      48     0     0     0     1     6.6s
Sierra Springs | Spirits                           5     385     0     0     0     2      20s
Co-op World of Whisky | Scottish Single Malts     11     256     0     0     0     5      40s
Craft Cellars | Whisky                            27     911     0     0     0     0      77s
Craft Cellars | Rum                               27     110     0     0     0     0     0.2s
Craft Cellars | Gin                               27      93     0     0     0     0     0.2s
Sierra Springs | Other                             1      11     0     0     0     0     6.9s
Co-op World of Whisky | American Whiskey           2      35     0     0     0     0     9.7s
Sierra Springs | Gin                               1      52     0     0     0     1      12s
Co-op World of Whisky | Rum                        2      33     0     4     0     1     9.6s
Co-op World of Whisky | Gin                        1      15     0     0     0     1     6.6s
Strath Liquor | Whisky                            13     414     0     0     0     0      78s
BCL | Whisky / Whiskey                            26     607     0     0     1     0      72s
BSW | Scotch Whisky                               24    1153     0     0     1    12      60s
BCL | Rum                                          4      95     0     0     0     0      11s
BCL | Gin                                          4      77     0     0     0     0      11s
BSW | Rum                                         12     574     0     0     0     0      31s
Strath Liquor | Spirits - Rum                     11      39     0     0     0     0      41s
Strath Liquor | Spirits - Gin                      3      36     0     0     0     0      14s
Willow Park | Scotch                               7     262     0     0     0     5      31s
Willow Park | Rum                                  3      87     0     0     0     0      21s
Vessel Liquor | Whisky                             5     204     0     1     2     0      30s
BSW | Whisky                                      24    1160     0     0     1     4      62s
Willow Park | Gin                                  3      85     0     0     1     2      21s
Vessel Liquor | Rum / Cane Spirit                  2      62     0     0     0     0      21s
Malts & Grains | All Spirits                       3     536     0     0     0     0     6.1s
Malts & Grains | Gin                               3       0     0     0     0     0     0.0s
BSW | Gin                                          9     430     0     0     0     0      23s
Vessel Liquor | Gin                                2      79     0     0     0     0      21s
Vintage Spirits | Whisky & Whiskey                 1      14     0     0     0     0     0.4s
Vintage Spirits | Single Malt Whisky               2      25     0     0     0     0     5.4s
Vintage Spirits | Rum                              4      51     0     0     0     0      11s
Keg N Cork | Whisky                                7     620     0     0     0     0      37s
Vintage Spirits | Gin                              2      16     0     0     0     0     5.3s
Tudor House | Rum                                  2     150     0     0     0     0      28s
Keg N Cork | Rum                                   1      68     0     0     0     0     9.1s
Keg N Cork | Gin                                   1      73     0     0     0     0     8.7s
Legacy Liquor | Whisky                             5     401     0     0     0     0      17s
Legacy Liquor | Rum                                1      98     0     0     0     0     2.7s
Legacy Liquor | Gin                                1      96     0     0     0     0     2.6s
ARC Liquor | Spirits - Rum                         7     103     0     0     0     0      20s
Tudor House | Whiskey / Scotch                     3     254     0     0     2     0      33s
Tudor House | Scotch Selections                    4     371     0     0     1     0      36s
ARC Liquor | Spirits - Scotch                     16     228     0     0     0     0      46s
Tudor House | Gin                                  2     158     0     0     1     0      31s
ARC Liquor | Spirits - Whiskey                    11     163     0     0     0     0      33s
Everything Wine | Whisky                          23     530     0     0     0     0     109s
ARC Liquor | Spirits - Gin                         6      84     0     0     0     0      19s
Lime Liquor | Whiskey                             13    1353     0     0     0     0      33s
ZYN The Wine Market | Whisky                       5     860     0     0     2     0      13s
Lime Liquor | Rum                                  4     358     0     0     0     0      11s
ZYN The Wine Market | Rum                          1     197     0     0     0     0     2.9s
ZYN The Wine Market | Gin                          1     173     0     0     0     0     3.0s
Lime Liquor | Gin                                  3     311     0     0     0     0     8.2s
Liquor Warehouse | Whiskey/Scotch                  1     187     0     0     0     0     0.6s
Liquor Warehouse | Rum                             1      61     0     0     0     0     2.8s
Everything Wine | Rum                              5     107     0     0     0     0      27s
Liquor Warehouse | Gin                             1      42     0     0     0     0     2.7s
Canadian Liquor Store | Whisky                     4     622     0     0     0     0      10s
Canadian Liquor Store | Rum                        1      72     0     0     0     0     2.8s
Canadian Liquor Store | Gin                        1      91     0     0     0     0     2.9s
Whisky Drop | Whisky                               1     241     0     0     2     0     1.0s
Whisky Drop | Rum                                  1      13     0     0     1     0     2.6s
